id,comp,target,fert,light,cage_rand1,cage_rand2,biomass,status,comp_treat,family_tar,family_comp
AH_194,Galinsoga_parviflora,Hieracium_pilosella,low,high light,3,1,0.0832,native,inter,Compositae,Compositae
AH_195,Elsholtzia_ciliata,Mentha_longifolia,low,high light,1,1,1.0834,native,inter,Lamiaceae,Lamiaceae
AH_196,Salvia_verticillata,Prunella_vulgaris,low,high light,4,3,0.4323,native,inter,Lamiaceae,Lamiaceae
AH_197,Onobrychis_viciifolia,Medicago_falcata,low,high light,3,2,0.3129,native,inter,Leguminosae,Leguminosae
AH_198,Vicia_villosa,Medicago_lupulina,low,high light,1,2,1.5517,native,inter,Leguminosae,Leguminosae
AH_199,Epilobium_ciliatum,Epilobium_hirsutum,low,high light,4,4,1.1557,native,inter,Onagraceae,Onagraceae
AH_200,Eragrostis_minor,Vulpia_myuros,low,high light,2,3,0.5648,native,inter,Poaceae,Poaceae
AH_201,Galinsoga_parviflora,Vulpia_myuros,low,high light,3,2,0.3342,native,inter,Poaceae,Compositae
AH_202,Vicia_villosa,Hieracium_pilosella,low,high light,4,2,1.0482,native,inter,Compositae,Leguminosae
AH_203,Eragrostis_minor,Cardamine_hirsuta,low,high light,1,2,1.9541,native,inter,Brassicaceae,Poaceae
AH_204,Elsholtzia_ciliata,Cardamine_hirsuta,low,high light,2,3,0.0356,native,inter,Brassicaceae,Lamiaceae
AH_205,Galinsoga_parviflora,Cardamine_hirsuta,low,high light,3,1,0.1425,native,inter,Brassicaceae,Compositae
AH_206,Onobrychis_viciifolia,Prunella_vulgaris,low,high light,4,1,0.6224,native,inter,Lamiaceae,Leguminosae
AH_207,Eragrostis_minor,Mentha_longifolia,low,high light,2,1,1.0528,native,inter,Lamiaceae,Poaceae
AH_208,Elsholtzia_ciliata,Prunella_vulgaris,low,high light,1,3,0.5756,native,inter,Lamiaceae,Lamiaceae
AH_209,Diplotaxis_muralis,Medicago_lupulina,low,high light,2,1,0.3193,native,inter,Leguminosae,Brassicaceae
AH_210,Salvia_verticillata,Cardamine_hirsuta,low,high light,1,3,0.5517,native,inter,Brassicaceae,Lamiaceae
AH_211,Epilobium_ciliatum,Cardamine_hirsuta,low,high light,3,3,0.4634,native,inter,Brassicaceae,Onagraceae
AH_212,Epilobium_ciliatum,Mentha_longifolia,low,high light,4,4,0.8893,native,inter,Lamiaceae,Onagraceae
AH_213,Diplotaxis_muralis,Medicago_falcata,low,high light,2,2,0.0551,native,inter,Leguminosae,Brassicaceae
AH_214,Elsholtzia_ciliata,Hieracium_pilosella,low,high light,1,4,0.1823,native,inter,Compositae,Lamiaceae
AH_215,Vicia_villosa,Prunella_vulgaris,low,high light,3,4,0.6995,native,inter,Lamiaceae,Leguminosae
AH_216,Galinsoga_parviflora,Medicago_falcata,low,high light,4,2,2.9572,native,inter,Leguminosae,Compositae
AH_217,Diplotaxis_muralis,Prunella_vulgaris,low,high light,3,3,0.1148,native,inter,Lamiaceae,Brassicaceae
AH_218,Onobrychis_viciifolia,Mentha_longifolia,low,high light,2,4,1.4681,native,inter,Lamiaceae,Leguminosae
AH_219,Galinsoga_parviflora,Medicago_lupulina,low,high light,4,3,0.0916,native,inter,Leguminosae,Compositae
AH_220,Diplotaxis_muralis,Hieracium_pilosella,low,high light,1,2,0.1563,native,inter,Compositae,Brassicaceae
AH_221,Galinsoga_parviflora,Prunella_vulgaris,low,high light,2,3,0.1753,native,inter,Lamiaceae,Compositae
AH_222,Epilobium_ciliatum,Medicago_falcata,low,high light,4,3,0.1272,native,inter,Leguminosae,Onagraceae
AH_223,Galinsoga_parviflora,Mentha_longifolia,low,high light,3,4,0.3981,native,inter,Lamiaceae,Compositae
AH_224,Epilobium_ciliatum,Vulpia_myuros,low,high light,1,2,0.8894,native,inter,Poaceae,Onagraceae
AH_225,Diplotaxis_muralis,Cardamine_hirsuta,high,high light,3,1,0.2164,native,inter,Brassicaceae,Brassicaceae
AH_226,Galinsoga_parviflora,Hieracium_pilosella,high,high light,2,4,3.9156,native,inter,Compositae,Compositae
AH_227,Elsholtzia_ciliata,Mentha_longifolia,high,high light,1,3,2.2682,native,inter,Lamiaceae,Lamiaceae
AH_228,Salvia_verticillata,Prunella_vulgaris,high,high light,4,4,1.264,native,inter,Lamiaceae,Lamiaceae
AH_229,Onobrychis_viciifolia,Medicago_falcata,high,high light,4,1,1.1563,native,inter,Leguminosae,Leguminosae
AH_230,Vicia_villosa,Medicago_lupulina,high,high light,3,3,2.7728,native,inter,Leguminosae,Leguminosae
AH_231,Epilobium_ciliatum,Epilobium_hirsutum,high,high light,2,1,3.608,native,inter,Onagraceae,Onagraceae
AH_232,Eragrostis_minor,Vulpia_myuros,high,high light,1,4,0.8332,native,inter,Poaceae,Poaceae
AH_233,Galinsoga_parviflora,Vulpia_myuros,high,high light,2,3,0.5553,native,inter,Poaceae,Compositae
AH_234,Vicia_villosa,Hieracium_pilosella,high,high light,1,1,0.6305,native,inter,Compositae,Leguminosae
AH_235,Eragrostis_minor,Cardamine_hirsuta,high,high light,4,4,0.2484,native,inter,Brassicaceae,Poaceae
AH_236,Elsholtzia_ciliata,Cardamine_hirsuta,high,high light,3,2,0.4453,native,inter,Brassicaceae,Lamiaceae
AH_237,Galinsoga_parviflora,Cardamine_hirsuta,high,high light,3,4,0.0674,native,inter,Brassicaceae,Compositae
AH_238,Onobrychis_viciifolia,Prunella_vulgaris,high,high light,2,2,0.6026,native,inter,Lamiaceae,Leguminosae
AH_239,Eragrostis_minor,Mentha_longifolia,high,high light,4,1,3.5954,native,inter,Lamiaceae,Poaceae
AH_240,Elsholtzia_ciliata,Prunella_vulgaris,high,high light,1,1,2.2815,native,inter,Lamiaceae,Lamiaceae
AH_241,Diplotaxis_muralis,Medicago_lupulina,high,high light,4,4,0.3258,native,inter,Leguminosae,Brassicaceae
