id,target,status,comp_treat,comp,status_comp,fert,light,biomass,root,ini_height,family_tar,family_comp
J197,Alternanthera_sessilis,native,alone,Non,alone,low,low light,10.693,1.314,4.2,Amaranthaceae,Non
J198,Alternanthera_sessilis,native,alone,Non,alone,low,low light,12.099,1.146,5.2,Amaranthaceae,Non
J199,Alternanthera_sessilis,native,alone,Non,alone,low,low light,5.095,0.65,5.1,Amaranthaceae,Non
J200,Alternanthera_sessilis,native,alone,Non,alone,low,low light,8.909,0.69,8.2,Amaranthaceae,Non
J201,Alternanthera_sessilis,native,alone,Non,alone,low,low light,8.584,0.891,3.8,Amaranthaceae,Non
J202,Alternanthera_sessilis,native,alone,Non,alone,low,low light,8.44,0.67,7.2,Amaranthaceae,Non
J203,Alternanthera_sessilis,native,alone,Non,alone,low,low light,10.172,1.081,8,Amaranthaceae,Non
J218,Solidago_canadensis,alien,alone,Non,alone,low,low light,1.692,0.292,4.2,Compositae,Non
J219,Solidago_canadensis,alien,alone,Non,alone,low,low light,1.311,0.237,3.4,Compositae,Non
J220,Solidago_canadensis,alien,alone,Non,alone,low,low light,0.992,0.132,4.9,Compositae,Non
J221,Solidago_canadensis,alien,alone,Non,alone,low,low light,0.994,0.132,5.4,Compositae,Non
J222,Solidago_canadensis,alien,alone,Non,alone,low,low light,2.344,0.38,4.6,Compositae,Non
J223,Solidago_canadensis,alien,alone,Non,alone,low,low light,1.616,0.325,4.1,Compositae,Non
J224,Solidago_canadensis,alien,alone,Non,alone,low,low light,1.868,0.384,3.9,Compositae,Non
J239,Solidago_decurrens,native,alone,Non,alone,low,low light,0.141,0.036,2.7,Compositae,Non
J240,Solidago_decurrens,native,alone,Non,alone,low,low light,0.429,0.115,3.5,Compositae,Non
J241,Solidago_decurrens,native,alone,Non,alone,low,low light,0.04,0.005,3.8,Compositae,Non
J242,Solidago_decurrens,native,alone,Non,alone,low,low light,0.071,0.016,5.6,Compositae,Non
J243,Solidago_decurrens,native,alone,Non,alone,low,low light,0.085,0.022,5.3,Compositae,Non
J244,Solidago_decurrens,native,alone,Non,alone,low,low light,0.229,0.037,4.1,Compositae,Non
J245,Solidago_decurrens,native,alone,Non,alone,low,low light,0.22,0.136,3.1,Compositae,Non
J260,Paspalum_notatum,alien,alone,Non,alone,low,low light,7.697,0.595,9.2,Poaceae,Non
J262,Paspalum_notatum,alien,alone,Non,alone,low,low light,4.158,0.262,6.9,Poaceae,Non
J263,Paspalum_notatum,alien,alone,Non,alone,low,low light,3.401,0.237,4.2,Poaceae,Non
J264,Paspalum_notatum,alien,alone,Non,alone,low,low light,4.089,0.374,7.8,Poaceae,Non
J265,Paspalum_notatum,alien,alone,Non,alone,low,low light,4.632,0.354,5.7,Poaceae,Non
J266,Paspalum_notatum,alien,alone,Non,alone,low,low light,2.762,0.202,6.9,Poaceae,Non
